,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,CRRI
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5454026365964604,1.575453717466075,1.593389828611538,1.6028844042772075,1.602815752862572,1.5979750944069906,1.5867530028548829,1.5674706466318915,1.5461320788995292,1.5226940558763233,1.4956722230096542,1.4648518778310626,1.435491237311243,1.4076959192738423,1.3837002036984138,1.3644856863884036,1.3505445401219793,1.3469858029291852,1.3450980179408827,1.3470538258618319,1.3549438535784466,1.3627208879833235,1.369832265674876,1.3750628050526639,1.3786692418685829,1.3832730434719696,1.3833019563455424,1.3789814740140005,1.3723091789009578,1.360413943548235,1.3476490292995071,1.3337451658762767,1.323423613342702,1.315684927396478,1.3138986549196936,1.317869759334356,1.3267541490862704,1.3374785015675623,1.348282603427454,1.3556776202085081,1.3577441358485625,1.3516139040877042,1.3363513627541024,1.3166362316565334,1.2907142082442555,1.263176144738956,1.2354292506502658,1.210858050614291,1.1897203916224215,1.1735261166578965,1.167075075842086,1.1688660848628891,1.180383239477485,1.1992252350846129,1.2232556733574518,1.2542806867589806,1.2875367851602535,1.3208779095500351,1.349205247117291,1.3723055054507356,1.3873203955822875,1.393070436542057,1.3885241704044395,1.3759086685598199,1.3535881199218118,1.3237953562310176,1.2924160430735763,1.2586380234278178,1.2251071837993521,1.1933331742189464,1.166983235567393,1.1441060269314884,1.127086944037516,1.1151576725218515,1.1065778505065982,1.0996279381646974,1.092671675139081,1.0857894846098217,1.0781923359018162,1.0689665668337986,1.059445327239151,1.0481761987242681,1.0367083582825527,1.0255607478895539,1.0143054427541858,1.004378567013242,0.994759401741577,0.9846997311084114,0.9741492583499235,0.9618802046865307,0.9471471613338933,0.9308417535668067,0.91472638319199,0.8994065475919351,0.887569928437264,0.8786935944224301,0.8744746377855999,0.8745233861543686,0.8777008235874698,0.8827468477593585,0.8865676173252723,0.8890196793107494,0.8857268273516727,0.8759269293879458,0.8592388437379853,0.8394453142999052,0.8192040580189731,0.8031788565927821,0.7903767467371898,0.7820753901188231,0.7742373758399382,0.7657752563313914,0.7619931349353404,0.7523818033105827,0.7450697000296984,0.730551386935911,0.7309204432819796,0.7285426137406953,0.7273285163108585,0.7216067362295691,0.7289055477232615,0.7438314295538075,0.7556884072193801,0.7632427289450262,0.7775011311469974,0.7829803170502502,1
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1536354474330688,1.1484872235240484,1.1535520445535352,1.1628231130693925,1.1765459189175,1.1906096400628887,1.204500493789002,1.2088588497582475,1.2150819375183533,1.2140680561061197,1.2071010198312493,1.2027903787752208,1.2019402172331768,1.1994138211958072,1.1897162085314505,1.1850893388195631,1.1783649581113556,1.1686462851692432,1.1538756203010239,1.142006681899483,1.129097246209931,1.116079924275312,1.1008415305704136,1.0843507263260994,1.0670197973726072,1.0470011681865887,1.030577380084481,1.0152231560473075,1.0000986548332942,0.9892221177017384,0.9839984342910015,0.981417844621143,0.9847306058489507,0.9935134364495672,1.0027914641079692,1.0141586782780947,1.024433875543496,1.0370152768150616,1.044784957455744,1.0496982037894182,1.0534886938558454,1.0480307620450813,1.0403302015418898,1.0280306163745117,1.0130492406284812,0.9950157477887581,0.9757680879316392,0.9507308079528298,0.927920440281533,0.9068749521443298,0.8888161610127854,0.876026457201847,0.8668984421060129,0.8640190117074753,0.861786308145787,0.8700396591557371,0.8798060931019992,0.89298761745418,0.907313829699006,0.9228227133484501,0.934216468927348,0.9466730059357429,0.9572178372130891,0.969242357783272,0.9779439794677653,0.9860802340095162,0.9960476133070582,1.001491596895645,1.0045979163556842,1.0071966318452201,1.015031399096257,1.0261423350139647,1.0440775021526205,1.065023869855807,1.0835290852279718,1.1027933420059708,1.1165619073610058,1.125885546272668,1.1290417688729288,1.1280184920591627,1.123528174503134,1.1175597877532129,1.1149925547493664,1.1161025394262918,1.1276131040384976,1.148153778925107,1.1744302820943848,1.20667186547713,1.2462236922794123,1.288862460860148,1.3340656910094089,1.3783621983037593,1.4165932009766922,1.4445528612582166,1.46316258430658,1.4670120391160903,1.4586622741873598,1.4363331843871348,1.3994076024624034,1.3565809386596566,1.3065011602670897,1.2571039750855988,1.2095432833708566,1.1680210692908526,1.139050805180624,1.118097764538909,1.1081099378750319,1.1046876761135618,1.1046906303100177,1.1059731334103846,1.110755356028578,1.1128295078426977,1.1148116280405338,1.1124450165329067,1.1105210257083575,1.109671043372249,1.1087421815020426,1.1106327864449455,1.114538796138929,1.119316675530389,1.1222160780988897,1.1253277110918134,1.1253850832385803,1.1209128069488346,1.1145889706769678,1.103639377796477,1.092949585187251,1.0805055912588395,1.073864751718427,1.066829904048536,1.0577201180785043,1.0639984757565908,1.0668405469234237,1.0712482701331683,1.0719844676259216,1.0732077719127986,1.0755753590015367,2
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.950032713032376,2.056109635170536,2.148164077394588,2.219663695751035,2.2598008737711854,2.2683230182278553,2.2472211257192285,2.1984633961783944,2.129784792623952,2.0448961755363926,1.9571159706767007,1.8663634562982043,1.7756968586145998,1.691380444435181,1.6077105731309438,1.525972090343965,1.4480767885078483,1.371475132615475,1.2985595946642103,1.2276591425481407,1.1599514891988,1.0978448487192582,1.0421517437872814,0.99541692660857,0.9569805374989975,0.9282766584382236,0.9059582353912954,0.8929782143625953,0.8857111289806778,0.8853943028323152,0.8864564468401182,0.891727281359536,0.8989035943710804,0.9084346782336727,0.9204679389112032,0.9342900058368956,0.9512540123468802,0.9705957548177513,0.9930105482737325,1.0167042994549402,1.042713607545512,1.0679845473865357,1.0907162063131848,1.1098804306416623,1.1248589967080034,1.1335735808826233,1.1371876432767776,1.1380259850455423,1.1358742264703654,1.1318214728054747,1.1278307311453888,1.1240072129626917,1.120036610527009,1.1169903978208562,1.113453626469016,1.1110208430745703,1.1056346477433596,1.099478150969934,1.091109725545874,1.081356289834253,1.0687637133025567,1.0569351695366613,1.0479622974251654,1.0387677523119798,1.0312943475142178,1.0270912227712867,1.0241936554718325,1.0226286542956764,1.022323675137447,1.022493278983556,1.02126552955797,1.0201357565991906,1.0149432830975829,1.008070548527419,1.000218797955343,0.9929766234849886,0.986707455782877,0.982235261377584,0.9763058457704565,0.9714354867053577,0.9675374213202941,0.9625977330990144,0.9569381388599509,0.9507730465831972,0.9437425110730919,0.9338273649045759,0.9264735371543119,0.9183672837799112,0.9136383949372062,0.9119220688474012,0.9132369638966558,0.921162427760404,0.934935824250472,0.9525969057490489,0.9713321047553531,0.9948831913137721,1.0179293788755657,1.0461598999353114,1.0730832036490499,1.1005228226824402,1.1266204667237245,1.151671548903249,1.172078831597528,1.1918947252553638,1.20824736798482,1.2219528968391467,1.2347192190181548,1.2461592176965643,1.2502010162893695,1.2542849839722,1.25454513354937,1.2537954348058284,1.253023787263659,1.2526492754351384,1.2564521300842884,1.259617348855844,1.2577156526066287,1.250132599473339,1.2403556842829486,1.23260712976994,1.220379581972176,1.2089042192275261,1.1945260565648195,1.1823377094402154,1.1668588712921748,1.159671103577237,1.1465057357925663,1.1322255770748524,1.1212641212686951,1.1085873135106383,1.1069555363350656,1.0996476627023757,1.0900089119913141,1.08759672873787,2
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5660922729779467,2.6269305592165946,2.619852139953141,2.564160013984686,2.4831615263723554,2.3851268906554832,2.2783155317825248,2.169370381558061,2.053481319781583,1.9318946025548929,1.8226592615908295,1.709910406400072,1.599711716998201,1.4989163897450308,1.4035003292708197,1.3180359548606106,1.239625599444088,1.1699543130016206,1.116743271808045,1.0681031138710164,1.0272721994097687,0.9905306810658174,0.9545989219336712,0.9233838745042802,0.8928266366619853,0.8600318016320353,0.8290983662820823,0.8010406257449996,0.7624250316303476,0.7259023788590488,0.6885675355210503,0.653658076391687,0.6207077345644108,0.5893653100209967,0.5589652509534445,0.5195428060948584,0.5018266916902798,0.4778973977902524,0.44859124671202355,0.42968471181586426,0.4234268274434163,0.4188920804290256,0.4117356845633991,0.4208707372462815,0.4169527244750598,0.41165349625562697,0.42687656318786793,0.4456029333145567,0.50050773184597,0.5399888575701278,0.5888519408659955,0.6079872470023295,0.6330858449451897,0.6885623293772773,0.7250698770245702,0.776430288755976,0.7960012375295948,0.825464990627544,0.8202250059509483,0.8289341078391557,0.8438461004747999,0.8368453093164556,0.8485144787951813,0.8490516691714138,0.8734286057105973,0.8843883160380903,0.9119551325560677,0.9640890559308348,1.0419392493414392,1.144195331448721,1.2522328424835099,1.3964006397773399,1.5512561913620582,1.719095697521049,1.8559059196742187,1.9574224788880343,2.00412363006997,1.9920120183723664,1.8886863403501009,1.732139745535533,1.5289384285315863,1.3420707464781458,1.125595212154912,0.9397184732737616,0.7633105107731355,0.6213924282515545,0.5020903501344914,0.44244105298401076,0.4015506051494314,0.4063234404040742,0.4330735507821061,0.4800980030485013,0.5338776193938892,0.5837734510631483,0.6340492310223433,0.6848127778395026,0.7195392011826045,0.7624146533107076,0.7986277255052456,0.8268946075088683,0.8404761254073073,0.8502558501985342,0.868801604708192,0.8862697197286609,0.9028629979135612,0.9103220407884944,0.922059602814659,0.9309782213474793,0.939019701814386,0.945640558253533,0.9584025836234,0.9680837322359525,0.9801724421133933,0.9883138710163248,1.0272228523524167,1.0857447385637549,1.1499197423272656,1.2172451012315881,1.252254279002975,1.332575243734231,1.3807400865948463,1.3861253306813288,1.3795937594895884,1.3644566983133841,1.3178139135906952,1.2840599847769978,1.2532278063040796,1.230504790558021,1.2354260856708326,1.2157327620469367,1.1580846071018231,1.1344211643391184,3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5351404680053382,1.5468176399105293,1.5277814855789564,1.4869853072783243,1.44247011587019,1.3957679512075796,1.3530852789332821,1.32022257168483,1.2939564110488866,1.2885021312386353,1.290935056603612,1.3042008567794787,1.3209141869017005,1.3392260530164513,1.3577730364667013,1.3686765996700134,1.3806045239814364,1.3785392839095092,1.3722818776873713,1.3532918869707102,1.3307936921829366,1.3111403377020592,1.291411137330308,1.284182685188728,1.2864386561211698,1.2831281753449653,1.2913790105367142,1.3088874189046766,1.3296295387827648,1.3467827175788858,1.3637602150959829,1.3689857365958589,1.3653248647671288,1.3640692068655869,1.352587002545573,1.3389750579841042,1.3206183866713397,1.2910079959198808,1.2623995507265535,1.2382493632348042,1.2139069120780634,1.1991287372432806,1.1746926652930605,1.1591778690725305,1.1448345676039942,1.1378272721555103,3
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8715015723231572,1.8142390060107068,1.75395654154506,1.6883108663539383,1.6203694221143978,1.5466164395772395,1.4728940530912342,1.3979496456559257,1.3218553479267152,1.2515068535124854,1.1844216225092794,1.128432194142094,1.0808174800875374,1.0411169569608794,1.0113692862798307,0.9942281472679826,0.9885374929642964,0.9891323402254989,0.9933599732549886,0.9958469234314014,0.9969145706253538,0.9967772376695306,0.9949438726988001,0.9934065041068854,0.9931335214911493,0.9940163928458057,0.9982353769776511,1.0051701683643373,1.011931648105269,1.0194944053127315,1.0268750166703224,1.033068309563503,1.036356550317212,1.0378228124183424,1.0386261984766918,1.0403016101892177,1.0391320656212044,1.0405657505962973,1.0425700309547823,1.0477993173609113,1.05548196441432,1.0629187262768474,1.0742902304727724,1.0886230269258104,1.1054996015113383,1.1212540114349854,1.1387180565500494,1.1545381314434768,1.167374241875153,1.17713263460899,1.1820400566675084,1.1830427112094675,1.1831518120823132,1.182684575596776,1.181961137870203,1.1865703099576517,1.1913549431931836,1.2021876405697882,1.2176486712485337,1.2326766024763711,1.2499388754136347,1.263810621043127,1.2726874956374168,1.2762196496214726,1.2731064263284648,1.264266938070397,1.2532091734553301,1.2377897198726768,1.2216922778627848,1.2031706118356693,1.1890306708462672,1.176938291593194,1.1675591632022786,1.160356830733345,1.1547140710960204,1.1508212934958637,1.1465885894174077,1.1465151013038768,1.1468389586043168,1.145721052876854,1.1472532997258824,1.148572653481164,1.149096981330845,1.1505480971928834,1.1529715998546881,1.1561545443476524,1.1617764631558056,1.1669607687201082,1.1715759939700887,1.1776975405937908,1.1799838966394751,1.18215485590997,1.179949370746448,1.1766781575295329,1.1697458406061982,1.1624667179626442,1.1560696321970405,1.1506265586272897,1.1479643336720762,1.1466780344590832,1.1492643147332888,1.155283977526502,1.163658370207218,1.174541432406687,1.1849848353659604,1.1936802179722097,1.1969409527987143,1.1920350878867323,1.1786219916651528,1.160643277143702,1.1428103856447593,1.1209741494647851,1.1040006438876966,1.0883763445141144,1.0857592095640067,1.0818248221765967,1.0815316363979732,1.0809282058433676,1.0859751291688484,1.0879623271582326,1.0897878318993,1.0943724934956487,1.0942780457275556,1.0943589735969264,1.1004167154571962,1.0987810688305646,1.0966063982115668,2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7108087146751005,1.7400429506772934,1.7419446904991562,1.721752698939912,1.6881283890271077,1.6477297067710803,1.6034343404302422,1.5548924723230761,1.5101075798861507,1.468848304723045,1.4293448774938615,1.3956906158201479,1.3669334161309559,1.343640653738617,1.3243796396795333,1.3040645565408961,1.2837485755206801,1.2613486626742634,1.236721821983727,1.2086628105855683,1.1775668336532,1.1430872378043064,1.1081569374195872,1.0749892108755932,1.0444417257426357,1.0179128542766083,0.9975491442837927,0.9830221997184901,0.9751924932581992,0.9747709141257663,0.9844483024475226,1.0023339209740696,1.0262214771747984,1.0569512541192523,1.0891386149414635,1.118986876818874,1.1467391817822548,1.1683513991275079,1.1814393519755302,1.186115834915465,1.184555882480308,1.1795285044863142,1.1780772867770788,1.1817933797815918,1.1934715781005178,1.213993942739552,1.241387684268441,1.2737820419294512,1.3079531000983216,1.340554864385152,1.3665399130831286,1.3852065887226983,1.3949046218747623,1.4013744247582154,1.4039927633110967,1.407340148948515,1.412506689526802,1.4197238277951287,1.429389382496847,1.440077941720506,1.45223266756014,1.4626223093286255,1.4701841532104845,1.4703750533965265,1.4648238244481973,1.4512787634932864,1.4329895041302485,1.4105509214552907,1.3855667091491377,1.3602562950285264,1.33180933404946,1.3036707343144072,1.2789713990741305,1.2581129301371918,1.2390628972473783,1.223059040697755,1.2066987325650804,1.1921971822834143,1.1787095203619833,1.1696648271881263,1.1632306585185443,1.1576498130506054,1.1543205275817132,1.1513941774598653,1.1501351872124,1.1462443502708022,1.1399947319325534,1.1292618744703204,1.1138278258413719,1.0935694557652256,1.0730902339903816,1.050589831592887,1.027179815806899,1.0068416026517277,0.9920662345634224,0.9825454975318031,0.9806432056302306,0.9839106956811643,0.9925557004554383,1.0066448681765066,1.0217915624112077,1.038419185956486,1.0518048464491807,1.0623800097094929,1.06698252685702,1.0655316861657314,1.060905529982807,1.0520900169273286,1.0418411240223175,1.0319539850360484,1.0227269923184603,1.015486159437399,1.0102588337076894,1.0041232744042468,0.9961531046497903,0.9849521187721362,0.9729214834505922,0.9586397485517116,0.9420077101828292,0.9284872531268216,0.913749264985092,0.9020747767964248,0.8947508639988202,0.8903287371570321,0.887324774245922,0.8858401934166824,0.8834199441130488,0.8833220497013642,0.8850753508103495,0.8889877794383743,0.8950101375910564,0.902700719623431,0.906429303235744,0.9093170810794972,0.9095489716885143,2
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5124831603416542,1.5331561569650733,1.550630757640591,1.5652534452474076,1.5871884908029699,1.6119632475033407,1.6447941489154672,1.6790347832460766,1.7198938292777513,1.7701146527497231,1.8159547138930279,1.8637136347708938,1.908981872786963,1.9445165445898798,1.9689564196812759,1.9829524158065237,1.9808259986879804,1.9624017070807906,1.923489370978841,1.8660894048555823,1.7864086479724715,1.6790539095722496,1.556946507699684,1.4307594215011954,1.3079580628158625,1.1899274876145967,1.0797176427155315,0.9829968088692727,0.9013476851874368,0.8368158628368145,0.7935253259960138,0.7683378779531268,0.7621177684769498,0.7710035102345331,0.7923156704466441,0.8177278614942847,0.8431978693559976,0.8622111490228258,0.8704818644801602,0.8609215513453456,0.8361619144167243,0.8010212204135094,0.7533057871497373,0.6979078086988902,0.6428153498267919,0.5937305489082785,0.5530227867999498,0.5229317772869331,0.50366564854167,0.5033391245591439,0.511001730540033,0.5244122378917327,0.543693597449736,0.5742958518435592,0.6004826017816807,0.6292854083134057,0.657862768341819,0.6845642805500474,0.7135517167714971,0.7408246151965151,0.7734712999825375,0.7924573360973746,0.8054510542084041,0.8152936857781292,0.8286793539435081,0.8397207957472907,0.8463845427753209,0.847020069699023,0.8515916719241974,0.8497166568983447,0.8529377179359398,0.8625552243609433,0.8688291561048601,0.8753632844238832,0.8694322042295564,0.8790733990665931,0.8791520960289996,0.8814765282909063,0.8854489564744408,0.8857571195874137,0.8900018338811502,0.8808224903335994,0.9007053054527192,0.9235399690812822,0.9354763789011342,0.9427943764614071,0.9604512638463427,0.9774251227700013,0.9882011230232739,0.9829011563634205,1.0001236830264184,0.9922263774401807,0.9933820441079444,0.9906996253877369,0.9997409708019804,1.0006697754432374,0.9916569587776392,0.9942882065422315,1.0122326650657256,1.0369760867761015,1.0643096015785152,1.0755293792284215,1.079448761697145,1.1039591860261406,1.1243636414118263,1.1305012427871861,1.1435411464566556,1.1515464253323,1.1595647230654516,1.1725884071367956,1.1764431671372273,1.1920357014601977,1.211803521590073,1.240633476145382,1.2721615654315406,1.3062659075273815,1.3509717534950103,1.4034469143875576,1.4534313587039476,1.5074597704701143,1.5613103074180361,1.604487565352411,1.6379658121022005,1.6507041920147563,1.6539626711489532,1.6461761737375245,1.631218148214999,1.6030842786612658,1.5710437789640797,1.5341236490658585,1.4951220602257909,1.4558611844271994,1.4158430814280778,1.3807368991451328,1.3494290035324181,1.320383536144912,1.2907874381684976,1.2587497673844275,1.2360218266798402,1.2141813360023463,1.1954377468251145,1.1715664546679285,1.159850699594315,1.1466607020219255,1.1381070450547528,3
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.447163435725856,2.48294256779191,2.528301385963439,2.577244840111332,2.6197978917978153,2.6531886173904775,2.6804600179229254,2.681973439250215,2.648904264838214,2.5905540353843737,2.5078896132161272,2.411713149768312,2.304860733212617,2.188806405477388,2.073298824853164,1.9625240636263124,1.8590260542174866,1.763653418703745,1.6742704370535324,1.5899010136656995,1.5104379958134406,1.4352320887131715,1.3609131934801522,1.2861978059505357,1.208237945814472,1.1291438779464598,1.0506704828523046,0.9781644091219354,0.9113336955109389,0.8526345650880602,0.8054979989427229,0.7726049818918534,0.754870045317539,0.7473013681289433,0.746687085271073,0.7480018255850368,0.7499948978546565,0.7501697343967726,0.745907723706512,0.7363431694432597,0.7219525443613986,0.7045665141444495,0.6813066712081195,0.6564574474552793,0.6276847825717203,0.5974092984596793,0.5677478061089167,0.541995410782822,0.5206779478945727,0.5027504643010214,0.491943085801575,0.4888785410995269,0.49263550343539625,0.5016693594946604,0.5155210736607575,0.5318286550461102,0.5483331725852387,0.5646412806577362,0.5794239330923026,0.5943758085027732,0.6091097766515622,0.6291821395891914,0.6547193803193623,0.6900820145559023,0.7370883098678795,0.7947664698540335,0.8590750874983192,0.9313690581557272,1.0048580123244437,1.0705995303632965,1.118826758105076,1.1496536158675237,1.1555779026748798,1.139076216177418,1.092596700717595,1.0295495041276856,0.9537357055843794,0.8855827998193576,0.8203525967018608,0.7729374777701283,0.7380433171757478,0.7183344261784328,0.708056722260981,0.7167544730188099,0.7329886390432601,0.7610565456341529,0.7966467440390419,0.8307446726071068,0.8717120570784497,0.9149302032656457,0.9484033981132691,0.9791807910384542,1.0106369843418421,1.0351946854229996,1.0428691835505557,1.0425235756242113,1.0394308478394214,1.035560999621256,1.0341595155290582,1.0327946571365316,1.0331716234130897,1.0329307929897533,1.0170908813676482,1.0052606523757293,0.9841952186830629,0.9652380800267801,0.9537494068205634,0.9419974303775547,0.9365362797061509,0.9448831316929602,0.9509547366731735,0.9787695727520802,1.0007780649345435,1.0263872928617102,1.0468174529164256,1.0694185861361896,1.0902488625906677,1.1021496094865437,1.1189622408058932,1.1289599469147613,1.1374277751812438,1.1401696951780171,1.1412541976337853,1.1361266108813879,1.1261239293874805,1.121877659591029,1.1216444480568208,1.1231776787884162,1.1146531997929854,1.1101288960403835,1.1005586327744237,1.079582814402407,1.0530682612211386,1.0195447737010572,0.9852617644436559,0.9508584312593782,0.9223453805889177,0.8972748426393713,0.8761189263428153,0.8607820201064917,0.8521134580799492,0.8538708165415239,0.8672359603100859,0.8787988758227359,0.8840421747784577,0.8929823017060493,1
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4693316420452653,1.492938959446863,1.5089235983750044,1.5211988850926694,1.5296932823363094,1.5347885210891419,1.531529771395577,1.5272574301117054,1.5197322593132463,1.5062062789203425,1.4899034703924547,1.468962282381648,1.4474227130702553,1.4230162461404818,1.397266373911671,1.3718556736561447,1.3440922852895354,1.315678488623662,1.2835319061106676,1.2518331203085828,1.2170027613073047,1.1816674212765843,1.1478860134503266,1.1099277123174431,1.0746937521894304,1.0427893836164266,1.0122340614133503,0.9839551200333849,0.961152680140932,0.9437048027082999,0.928836900008923,0.9191490173176631,0.9139640908020927,0.9140170528829767,0.918036829571337,0.9257959819364274,0.9374511090142116,0.9508440518051289,0.9689009237477564,0.9895555589282011,1.0105666173915069,1.038916296596756,1.0708864875656832,1.1050477901710445,1.14194086107598,1.181052556510065,1.2120093685518905,1.2416532702747944,1.2645639298726379,1.2794963981470335,1.2884485832781263,1.2932175579271519,1.2961161321444332,1.2997442606500107,1.30540078422401,1.309911680208538,1.3169618824625156,1.323208721564408,1.3271858353236743,1.3307339240494684,1.3292457281923444,1.3220075117241659,1.315705191200615,1.3054104495044958,1.297187944591045,1.288512194074883,1.2834139456883566,1.279251843988383,1.2758265271621978,1.2736754306956422,1.272006119458094,1.267805351380439,1.265918433078334,1.2648102643068495,1.263049330642846,1.2621418864816172,1.2618440993045987,1.26070691240312,1.2558063400289763,1.249965611910376,1.2441185375308947,1.234434841483079,1.2227956818593375,1.2107777301040672,1.1997896121603715,1.188434644732835,1.1771739081295394,1.1691226555290624,1.1643264206343533,1.1615290193197658,1.159775233765586,1.160033908703329,1.158671761745424,1.1592712723257241,1.1585554982528028,1.1554400995308023,1.1496895953629065,1.1420831092798829,1.130873126654893,1.1179916063857311,1.103767594898739,1.089018653500459,1.0771705143806265,1.068360751831296,1.0614026608034612,1.0576103470855411,1.0564699811774716,1.0555157401035058,1.0566594331992032,1.05709107623707,1.0538278502841725,1.0460172639879648,1.0333018975031383,1.017977098594948,1.0022647675099918,0.9858919839423463,0.9746798820877014,0.9608971982740382,0.9473046979629163,0.9343354690721072,0.919950223578621,0.9052509998636509,0.8969893042843791,0.8934112665479461,0.8898173823951988,0.8844033418267554,0.8819886368910753,0.8834734088088703,0.8835428275622738,1
